,name,latitude,longitude,price,hostStart,propType
123,Keokea Beach Sweet Retreat,20.22149,-155.74606,125.00,2011-07-08,House
124,KONA  2 bedroom/1 bath condo with Oceanfront Pool,19.62108,-155.98516,95.00,2011-07-10,Apartment
125,Lovely Kona Condo @ Alii Villas,19.619770000000003,-155.98575,95.00,2013-07-23,Apartment
126,Hale Ma'ukele in beautiful Volcano,19.430139999999998,-155.22807,212.00,2011-07-10,House
127,"1 Week (7 nights) In Maui, Hawaii at the beach",20.94707,-156.69114,299.00,2011-07-17,Resort
128,Medium studio @ Mangolani Inn- Paia,20.90801,-156.37544,284.00,2011-06-25,Guest suite
129,Ocean View Coffee Farm Residence,19.64012,-155.95398,139.00,2011-07-25,House
130,Ocean View Coffee Farm Guest Apt,19.64009,-155.95563,129.00,2011-07-25,Guest suite
131,"Ocean Front Luxury Condo, free WIFI, Kuleana",20.96046,-156.68223999999998,194.00,2011-07-26,Apartment
132,Studio Condo Across from Beach,20.76472,-156.45885,119.00,2011-07-27,Condominium
133,Private Pool - 180° Ocean View - Minutes to Beach,19.696360000000002,-155.98461,266.00,2011-08-03,House
134,"The Great Kona Escape  - Near Town, KOA,  Beaches",19.69856,-155.98498999999998,125.00,2011-08-03,Apartment
135,Gingerbread  House-Paia/North Shore Beaches,20.92259,-156.36915,250.00,2011-08-06,House
136,"Lovely Apt, Aina Nalu Lahaina A109",20.87385,-156.67565,199.00,2011-07-28,Apartment
137,~Seaside to Summit~Kona Hawaii USA~,19.67059,-155.98008000000002,96.00,2011-08-10,Guest suite
138,ONE OF A KIND LUXURY CONDO W/AMENITIES.SLEEPS 1-5.,21.28134,-157.82531,128.00,2011-08-10,Apartment
139,Penthouse Studio w/Sunset Ocean vws,21.28846,-157.8411,125.00,2011-08-13,Condominium
140,"Spacious, Airy Open-Plan House, Mins to Beach",21.4196,-157.75046,296.00,2011-08-14,House
141,Home & Garden near Kailua beach,21.41899,-157.75184,270.00,2011-08-14,House
142,"Nice, Big House near Beaches and Lava Fields",19.408929999999998,-154.92612,99.00,2011-08-14,House
143,FAIRWAY VILLA -NEW REMODELED 24TH FL DELUXE STUDIO,21.2794,-157.8243,88.00,2011-08-15,Condominium
