"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-10-31,42213,"Garfield","NJ","New York-Newark-Jersey City","Bergen County",1699,360900,0.00305725403001668,0.0117746005046257,0.0433651344319167,0.0619647115768083,0.0164393578609734,"2006-08","2006-Q3",421900,-0.144584024650391,"2005-04"
2019-10-31,26310,"Orangevale","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",1700,402700,0.00448989773010726,0.0135917442738485,0.0397624580428608,0.0654520597778858,0.05395537597309,"2019-10","2019-Q4",402700,0,"2019-10"
2019-10-31,43839,"Alabaster","AL","Birmingham-Hoover","Shelby County",1701,186800,0.0043010752688172,0.0185387131952017,0.0643874643874644,0.0479498204013975,0.0230041466060016,"2019-10","2019-Q4",186800,0,"2019-10"
2019-10-31,14382,"Vestavia Hills","AL","Birmingham-Hoover","Jefferson County",1702,375900,0.00373831775700935,0.00669523299410819,0.028735632183908,0.0524610302137143,0.0323132448876899,"2019-03","2019-Q1",376500,-0.00159362549800797,"2019-03"
2019-10-31,17235,"Burlingame","CA","San Francisco-Oakland-Hayward","San Mateo County",1703,2189100,0.000594204223420788,0.0061126941814505,-0.0458111760090663,0.0602363985973684,0.0705812798400103,"2018-07","2018-Q3",2302700,-0.0493333912363747,"2018-01"
2019-10-31,396639,"Ross Township","PA","Pittsburgh","Allegheny County",1704,200000,0,0.00452034153691612,0.063264221158958,0.0524360491492366,0.0315483827967298,"2019-10","2019-Q4",200000,0,"2019-10"
2019-10-31,49547,"Parkville","MD","Baltimore-Columbia-Towson","Baltimore County",1705,188600,0.00212539851222104,-0.000529941706412295,-0.0248190279214064,0.0303650825266892,0.0019291128607255,"2007-06","2007-Q2",216300,-0.128062875635691,"2005-09"
2019-10-31,57124,"Coram","NY","New York-Newark-Jersey City","Suffolk County",1706,337800,0.001185536455246,0.00446030330062444,0.0586023190222501,0.049663228767256,0.0170347388206278,"2006-04","2006-Q2",369600,-0.086038961038961,"2005-02"
2019-10-31,5082,"Hartsville","SC","Florence","Darlington County",1707,85400,0.00588928150765607,0.0252100840336134,0.0728643216080402,0.0355897494153106,0.0160911041337279,"2019-10","2019-Q4",85400,0,"2019-10"
2019-10-31,19445,"Montgomery Village","MD","Washington-Arlington-Alexandria","Montgomery County",1708,277100,0.00434940195723088,0.00947176684881603,0.00836972343522562,0.0285658171631427,0.0262729508429396,"2006-12","2006-Q4",325500,-0.148694316436252,"2005-04"
2019-10-31,34650,"Wantagh","NY","New York-Newark-Jersey City","Nassau County",1709,504700,0.00119024003173973,0.0037788385043755,0.03613221104496,0.0474932765644336,0.0265388929905672,"2019-10","2019-Q4",504700,0,"2019-10"
2019-10-31,397097,"Middletown Township","PA","Philadelphia-Camden-Wilmington","Bucks County",1710,351100,0.000855188141391106,0.00630553167096589,0.0372230428360414,0.0290246432011301,0.0136449659646745,"2019-10","2019-Q4",351100,0,"2019-10"
2019-10-31,45094,"Edwardsville","IL","St. Louis","Madison County",1711,199300,-0.00150300601202405,0.00251509054325956,0.0189161554192229,0.0376167122775342,0.0149588012483546,"2019-08","2019-Q3",199700,-0.00200300450676014,"2019-08"
2019-10-31,26200,"North Tonawanda","NY","Buffalo-Cheektowaga-Niagara Falls","Niagara County",1712,140400,0.00573065902578797,0.0115273775216138,0.0580256217030897,0.0715097931843804,0.0400539722834197,"2019-10","2019-Q4",140400,0,"2019-10"
2019-10-31,10721,"Carpentersville","IL","Chicago-Naperville-Elgin","Kane County",1713,172200,-0.00289519397799653,0.00701754385964912,0.0386007237635706,0.0696103757250688,0.0201184758177666,"2007-05","2007-Q2",185900,-0.0736955352339968,"2005-03"
2019-10-31,27011,"Seaside","CA","Salinas","Monterey County",1714,540700,-0.00331797235023041,-0.00184604024367731,0.0295125666412795,0.0817051747474529,0.0635850580842592,"2005-11","2005-Q4",693900,-0.220781092376423,"2004-10"
2019-10-31,31264,"Dracut","MA","Boston-Cambridge-Newton","Middlesex County",1715,344000,0.00643651258045641,0.0117647058823529,0.0277860770839558,0.0599643851244396,0.0370456798642018,"2019-10","2019-Q4",344000,0,"2019-10"
2019-10-31,36557,"Westfield","IN","Indianapolis-Carmel-Anderson","Hamilton County",1716,270800,0.00036941263391208,0.00036941263391208,0.0230449565545901,0.0485991041123217,0.0342884635656711,"2019-04","2019-Q2",272700,-0.00696736340300697,"2019-03"
2019-10-31,24828,"Galloway Township","NJ","Atlantic City-Hammonton","Atlantic County",1717,172000,0.00584795321637427,0.0213776722090261,0.0669975186104218,0.0146961127849041,-0.0135793538435506,"2006-12","2006-Q4",259000,-0.335907335907336,"2003-12"
2019-10-31,396484,"Rockaway Township","NJ","New York-Newark-Jersey City","Morris County",1718,340300,0.00294724432655467,0.000882352941176471,0.00294724432655467,0.025529455695273,0.00399469868458491,"2006-06","2006-Q2",397100,-0.143037018383279,"2004-09"
2019-10-31,37609,"Brooklyn Center","MN","Minneapolis-St. Paul-Bloomington","Hennepin County",1719,211400,0.00955109837631328,0.0197780993728895,0.0512182993535554,0.0826851523133576,0.0544559949211363,"2019-10","2019-Q4",211400,0,"2019-10"
2019-10-31,21281,"White Lake","MI","Detroit-Warren-Dearborn","Oakland County",1720,269600,0.00785046728971963,0.020439061317184,0.0884134033104562,0.0594335053251469,0.0650912054170614,"2019-10","2019-Q4",269600,0,"2019-10"
2019-10-31,35860,"Muscatine","IA","Muscatine","Muscatine County",1721,137100,0.00219298245614035,0.0163083765752409,0.0308270676691729,0.0396058210458035,0.0188909365000072,"2006-04","2006-Q2",138900,-0.0129589632829374,"2006-02"
2019-10-31,38225,"Dover","NH","Boston-Cambridge-Newton","Strafford County",1722,294300,0.00136100714528751,-0.00304878048780488,0.0443577004968062,0.0599210474131249,0.0333939878260532,"2019-06","2019-Q2",295700,-0.00473452823807913,"2019-04"
2019-10-31,39923,"Murray","KY","Murray","Calloway County",1723,141600,0.00425531914893617,0.024602026049204,0.0504451038575668,0.0461572327988826,0.0283178587723718,"2019-10","2019-Q4",141600,0,"2019-10"
2019-10-31,7116,"Socorro","TX","El Paso","El Paso County",1724,104700,-0.0056980056980057,-0.00285714285714286,0.0194741966893866,0.0445444311664895,0.0193968656381496,"2019-08","2019-Q3",105400,-0.00664136622390892,"2019-07"
2019-10-31,397326,"Menasha","WI","Oshkosh-Neenah","Winnebago County",1725,201800,0.00648379052369077,0.0280183392766174,0.0872844827586207,0.0591538698603928,0.0337493750373488,"2019-10","2019-Q4",201800,0,"2019-10"
2019-10-31,51410,"Cibolo","TX","San Antonio-New Braunfels","Guadalupe County",1726,253300,-0.0086105675146771,0.0226079935405733,0.0510373443983402,0.0503889463357068,0.0318092590547927,"2019-09","2019-Q3",255500,-0.0086105675146771,"2019-09"
2019-10-31,12313,"Lapeer","MI","Detroit-Warren-Dearborn","Lapeer County",1727,161500,0.00123992560446373,0.021505376344086,0.0286624203821656,0.066225298771146,0.0447935450306403,"2019-10","2019-Q4",161500,0,"2019-10"
2019-10-31,34254,"Terrell","TX","Dallas-Fort Worth-Arlington","Kaufman County",1728,157300,0.000636132315521629,0.00127307447485678,0.0240885416666667,0.126787877814563,0.0464447980965039,"2019-02","2019-Q1",157700,-0.00253646163601776,"2019-02"
2019-10-31,28595,"Leesburg","FL","Orlando-Kissimmee-Sanford","Lake County",1729,175900,0.00227920227920228,0.0138328530259366,0.0570913461538462,0.0705370590033363,0.0380354123630398,"2006-05","2006-Q2",184100,-0.044541010320478,"2006-01"
2019-10-31,29215,"Porter","TX","Houston-The Woodlands-Sugar Land","Montgomery County",1730,217900,0.00646651270207852,0.0087962962962963,-0.00456829602558246,0.0433986374076591,0.0324704519798524,"2019-01","2019-Q1",219300,-0.00638394892840857,"2018-06"
2019-10-31,19434,"Monterey","CA","Salinas","Monterey County",1731,791000,-0.00453058142461616,-0.00390379045460269,-0.0050314465408805,0.0461691246798359,0.0404235198916292,"2005-10","2005-Q4",858100,-0.0781960144505302,"2005-03"
2019-10-31,43815,"Abingdon","MD","Baltimore-Columbia-Towson","Harford County",1732,252700,0,0.00198255352894528,0.00958849380743108,0.0234012648284536,0.00462687526046435,"2006-09","2006-Q3",277000,-0.0877256317689531,"2005-09"
2019-10-31,55253,"Woodridge","IL","Chicago-Naperville-Elgin","DuPage County",1733,267900,0.00337078651685393,0.00299513290902284,-0.00777777777777778,0.0409417625327442,0.0175140921611188,"2007-03","2007-Q1",274700,-0.0247542773935202,"2006-07"
2019-10-31,240237,"Millcreek","UT","Salt Lake City","Salt Lake County",1734,373000,-0.000535905680600214,0.0418994413407821,0.110449538553141,0.111770891749833,0.0571326973166293,"2019-09","2019-Q3",373200,-0.000535905680600214,"2019-09"
2019-10-31,4826,"Front Royal","VA","Washington-Arlington-Alexandria","Warren County",1735,213100,0.0109108159392789,0.033462657613967,0.0123515439429929,0.0316009256218936,0.0159005750883681,"2006-04","2006-Q2",255500,-0.165949119373777,"2005-03"
2019-10-31,5317,"Jamestown","NY","Jamestown-Dunkirk-Fredonia","Chautauqua County",1736,57900,0.00695652173913043,0.00871080139372822,0.109195402298851,0.0213348897992218,0.00227342024677801,"2019-10","2019-Q4",57900,0,"2019-10"
2019-10-31,27896,"Westfield","NJ","New York-Newark-Jersey City","Union County",1737,716000,-0.00167317345231456,-0.00334075723830735,0.00660761985097708,0.0177821162361702,0.0135721916277558,"2017-12","2017-Q4",743000,-0.0363391655450875,"2017-07"
2019-10-31,32538,"Live Oak","FL",,"Suwannee County",1738,128400,-0.00465116279069767,-0.00925925925925926,0.0280224179343475,0.0643572776251022,0.0206147352129922,"2006-10","2006-Q4",144700,-0.112646855563234,"2006-01"
2019-10-31,50967,"Benton","AR","Little Rock-North Little Rock-Conway","Saline County",1739,137600,0.00437956204379562,0.0140014738393515,0.0408472012102874,0.0359953958268575,0.0197112265355968,"2019-10","2019-Q4",137600,0,"2019-10"
2019-10-31,21128,"Wailuku","HI","Kahului-Wailuku-Lahaina","Maui County",1740,584300,0.0100259291270527,0.0222183344996501,-0.028595178719867,0.0663885773210042,0.0390385375030315,"2018-11","2018-Q4",608100,-0.0391382996217727,"2018-05"
2019-10-31,34613,"Wadsworth","OH","Cleveland-Elyria","Medina County",1741,184800,0.00763358778625954,0.0120481927710843,0.0126027397260274,0.0497038569174726,0.0223165142180504,"2019-03","2019-Q1",185300,-0.00269832703723691,"2019-03"
2019-10-31,40070,"North Royalton","OH","Cleveland-Elyria","Cuyahoga County",1742,216400,0.000462320850670365,0.00697999069334574,0.0454106280193237,0.0442199202837203,0.0232886049505285,"2019-10","2019-Q4",216400,0,"2019-10"
2019-10-31,40899,"Sidney","OH","Sidney","Shelby County",1743,131600,0.00765696784073507,0.0362204724409449,0.0553327987169206,0.0436251222884734,0.0255055746978257,"2019-10","2019-Q4",131600,0,"2019-10"
2019-10-31,13005,"North Andover","MA","Boston-Cambridge-Newton","Essex County",1744,526300,0.00438931297709924,0.00496467443192668,0.0390918065153011,0.0423138724582006,0.0323480554976625,"2019-03","2019-Q1",526500,-0.000379867046533713,"2019-03"
2019-10-31,50547,"Wheat Ridge","CO","Denver-Aurora-Lakewood","Jefferson County",1745,433700,0.00254276467868701,0.00393518518518518,0.0267518939393939,0.0964350870196591,0.0765595726632966,"2019-03","2019-Q1",435700,-0.0045903144365389,"2019-03"
2019-10-31,396727,"Greater Upper Marlboro","MD","Washington-Arlington-Alexandria","Prince Georges County",1746,345800,0.00144801621778164,0.00523255813953488,0.0437669785692726,0.051590943787339,0.0252805996962333,"2006-12","2006-Q4",394800,-0.124113475177305,"2005-08"
2019-10-31,29459,"Tewksbury","MA","Boston-Cambridge-Newton","Middlesex County",1747,424000,0.00283822138126774,0.00712589073634204,0.0153256704980843,0.0515333255710877,0.0352004692490993,"2019-03","2019-Q1",429000,-0.0116550116550117,"2019-01"
2019-10-31,42335,"Ladson","SC","Charleston-North Charleston","Berkeley County",1748,174300,0.00172413793103448,0.0175131348511384,0.0712968653964352,0.0815097009370631,0.032818011870535,"2019-10","2019-Q4",174300,0,"2019-10"
2019-10-31,53676,"Ocean Springs","MS","Gulfport-Biloxi-Pascagoula","Jackson County",1749,162700,-0.00184049079754601,0.0200626959247649,0.0732189973614776,0.0478384676643624,0.0139155186454933,"2019-09","2019-Q3",163000,-0.00184049079754601,"2019-09"
2019-10-31,53733,"Orange","NJ","New York-Newark-Jersey City","Essex County",1750,234200,0.00904782421370099,0.0308098591549296,0.0862708719851577,0.151265966356687,0.0172412766270791,"2007-04","2007-Q2",297900,-0.21383014434374,"2005-09"
2019-10-31,24372,"Des Moines","WA","Seattle-Tacoma-Bellevue","King County",1751,396300,0.00558233950773915,0.0248254460822343,0.0473044397463002,0.0965206446479003,0.049266479370393,"2019-10","2019-Q4",396300,0,"2019-10"
2019-10-31,25458,"Laguna Hills","CA","Los Angeles-Long Beach-Anaheim","Orange County",1752,752900,0.00252996005326232,0.00520694259012016,-0.00198833510074231,0.036318229545345,0.0354363394727621,"2018-12","2018-Q4",759400,-0.00855938899130893,"2018-08"
2019-10-31,34636,"Walnut","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1753,770700,-0.00336221388852968,-0.00836335563561503,-0.0226984529546031,0.017893392056711,0.037800086600263,"2018-04","2018-Q2",793700,-0.0289782033513922,"2017-09"
2019-10-31,19933,"Piedmont","SC","Greenville-Anderson-Mauldin","Greenville County",1754,172800,0.00115874855156431,0.0182675309369476,0.0732919254658385,0.0900158080402538,0.0501825018757762,"2019-10","2019-Q4",172800,0,"2019-10"
2019-10-31,49477,"Madison Heights","MI","Detroit-Warren-Dearborn","Oakland County",1755,145200,0.00276243093922652,0.0118466898954704,0.0431034482758621,0.107871710359294,0.0823658275819363,"2019-10","2019-Q4",145200,0,"2019-10"
2019-10-31,33039,"Needham","MA","Boston-Cambridge-Newton","Norfolk County",1756,943800,0.0115755627009646,0.019773095623987,0.0273212147599869,0.0424667975066697,0.0412639588489998,"2019-10","2019-Q4",943800,0,"2019-10"
2019-10-31,398411,"Northampton Township","PA","Philadelphia-Camden-Wilmington","Bucks County",1757,416100,0.00265060240963855,0.0116703136396791,0.03225006201935,0.0299033294679067,0.0137179734157844,"2019-10","2019-Q4",416100,0,"2019-10"
2019-10-31,32157,"Inverness","FL","Homosassa Springs","Citrus County",1758,136500,0.00886917960088692,0.0186567164179104,0.0581395348837209,0.124252370145288,0.0420688695057725,"2006-08","2006-Q3",152100,-0.102564102564103,"2005-11"
